id,first_name,last_name,courses
1700001,Jana,Sprague,1462 1430 1427 1153 
1700002,Hartwell,Piper,1123 1596 1064 1346 
1700003,Aron,Fewings,1462 1068 1538 1596 
1700004,Ange,Ketch,1596 1430 1458 1313
1700005,Devy,O'Tuohy,1462 1552 1313 1110
1700006,Laurie,Bisson,1153 1427 1552 1277
1700007,Dino,Link,1346 1110 1110 1430
1700008,Ivett,Armall,1427 1596 1106 1346 
1700009,Brit,Tatham,1106 1346 1596 1427
1700010,Thorn,Cancutt,1346 1596 1371 1153 
1700011,Myrna,Panther,1175 1068 1371 1430
1700012,Gibbie,Tirte,1175 1313 1313 1123
1700013,Durant,Huston,1371 1496 1596 1106
1700014,Lyn,Baud,1153 1430 1462 1064
1700015,Vachel,Champneys,1538 1106 1313 1552
1700016,Kristel,Milborn,1596 1313 1346 1462 
1700017,Elfrida,Tanman,1239 1106 1552 1110 
1700018,Elly,Bulfoy,1552 1371 1110 1462
1700019,Ellwood,Feasey,1462 1430 1346 1496
1700020,Yvor,Maud,1462 1430 1427 1153
